,TWEET_ID,USER_ID,TWEET_TEXT,AUTHOR_COVID,AUTHOR_SYMPTOMS,FAMILY,FAMILY_COVID,FAMILY_SYMPTOMS
0,1338607089879556100,20535534,@DavidG_CA @MikeBubbins @distantpod @charlotteDruid Since becoming a patreon on @distantpod I have remained Covid free. I have also stopped drinking. Make your own minds up.,0,0,0,0,0
1,1245831585783369730,73914646,"Day 1of potential Covid symptoms,sore throat, annoying cough, hot and cold sweats. No temp. Been medically stood down for 14 days. #gutted #StayHomeSaveLives",0,1,0,0,0
2,1245962950759809024,3000459111,"@MattLCapon #askdoctorh I work for the nhs and I’m self isolating this week with covid 19 symptoms, next week when I return I will be working on a covid positive ward, should I be tested before I return?",0,1,0,0,0
3,1273267082709344257,14224443,"Mum Rachel, dad Jason and their son Lucas all tested positive for COVID-19. Now the family want to thank the hospice that stepped in to care for Lucas during their terrifying ordeal https://t.co/abZPkMXIJo",0,0,0,0,0
4,1311722610967928832,91107994,"Covid test 4.30 Tues at Cardiff drive through, now 50hrs later still no result, I’m a teacher, my husband is a teacher and my son is school age. We are all missing school, I thought key worker tests were a priority @PublicHealthW @wgmin_education @fmwales @WelshGovernment",0,1,1,0,0
5,1259765095451762688,857526946145722368,"@C4Ciaran @mikegalsworthy Will Johnson &amp; cronies soon be attempting to argue that because the Covid19 virus had spread thousands of miles to get to UK - as opposed to just channel-hopping across to Japan - that all those air-rage miles had welled up inside it, creating a very ill-tempered entity indeed ?",0,0,0,0,0
6,1249991530200383493,15206103,"Paradox of coronavirus as an asthmatic: while, even a few weeks after my (relatively mild) Covid symptoms, I can still feel the bug a bit with exertion, overall my lungs feel loads better because of the astonishingly different air quality. Would love to have this air all the time",0,1,0,0,0
7,1251527972470886401,3762993921,What a week #Covid_19 I’ve just spent the last 7days in bed after symptoms started 9days ago I feel like my body has a long way to go to fully recover but feel lucky to hopefully have turned the corner 🌈 hopefully soon I can give my kids a big cuddle 🤗 #StayatHome,0,1,0,0,0
8,1280082744136159232,1058658969261146117,"Our household was offerred tests as part of @KingsCollegeLon study using their Covid Symptoms app. None of us had symptoms.
Yesterday I found out the Covid-19 test I took on Friday was positive.
I had no symptoms.",0,0,1,0,0
9,1265582080949395456,51728901,"I have a favour to ask💫, my partner recently started his own buisness teaching gymnastics but then Covid happened - he's been making YouTube videos and working SO hard to build it - if anyone could view, like or even subscribe it would mean the WORLD 🌏 https://t.co/Wi9Ka4Lmhh",0,0,1,0,0
